x	y	z	rad	rnd	nam
150	1352	160610	240	270	plant_bigtree_05.ldr
93030	960	3310	240	270	plant_bigtree_05.ldr
136590	960	6610	240	-270	plant_bigtree_05.ldr
119730	960	23390	240	270	plant_bigtree_05.ldr
57510	960	81670	240	270	plant_bigtree_05.ldr
4870	968	107730	240	180	plant_bigtree_05.ldr
21710	960	59030	240	-270	plant_bigtree_05.ldr
57770	960	930	240	90	plant_bigtree_05.ldr
95550	960	158710	240	180	plant_bigtree_05.ldr
132170	960	49550	240	90	plant_bigtree_05.ldr
162870	960	3150	240	0	plant_bigtree_05.ldr
74070	2000	144790	240	0	plant_bigtree_05.ldr
50930	1888	7230	240	0	plant_bigtree_05.ldr
51190	960	71870	240	90	plant_bigtree_05.ldr
132270	960	8470	240	0	plant_bigtree_05.ldr
27830	960	94910	240	-180	plant_bigtree_05.ldr
163690	960	21850	240	0	plant_bigtree_05.ldr
108330	960	92590	240	-360	plant_bigtree_05.ldr
93730	960	159470	240	0	plant_bigtree_05.ldr
152490	960	143110	240	-360	plant_bigtree_05.ldr
56150	960	97630	240	-180	plant_bigtree_05.ldr
132050	960	95270	240	-180	plant_bigtree_05.ldr
64830	2536	50790	240	-90	plant_bigtree_05.ldr
65810	960	10770	240	-270	plant_bigtree_05.ldr
28190	960	109830	240	0	plant_bigtree_05.ldr
146190	1288	64990	240	-270	plant_bigtree_05.ldr
156830	960	71170	240	-90	plant_bigtree_05.ldr
85970	1008	38510	240	0	plant_bigtree_05.ldr
136730	960	1970	240	0	plant_bigtree_05.ldr
157330	960	66090	240	-270	plant_bigtree_05.ldr
16470	960	90990	240	-90	plant_bigtree_05.ldr
30130	960	89490	240	180	plant_bigtree_05.ldr
54110	4672	34690	240	-180	plant_bigtree_05.ldr
105710	1032	163810	240	0	plant_bigtree_05.ldr
96930	960	44730	240	0	plant_bigtree_05.ldr
72090	960	87670	240	0	plant_bigtree_05.ldr
49650	1192	125150	240	180	plant_bigtree_05.ldr
93390	960	154950	240	-90	plant_bigtree_05.ldr
115990	688	58250	240	0	plant_bigtree_05.ldr
